Date,Category,Outflow
1/4/2017,General Merchandise,$4.15 
1/4/2017,Resturaunts and Bars,$3.31 
1/7/2017,Housing,$16.60 
1/7/2017,General Merchandise,$2.18 
1/7/2017,Resturaunts and Bars,$8.36 
1/7/2017,Resturaunts and Bars,$38.48 
1/7/2017,Supermarkets and Grocery Stores,$111.65 
1/9/2017,Housing,$9.44 
1/9/2017,Resturaunts and Bars,$4.91 
1/10/2017,Housing,$58.45 
1/10/2017,Resturaunts and Bars,$2.35 
1/10/2017,General Merchandise,$1.93 
1/11/2017,General Merchandise,$10.01 
1/11/2017,Supermarkets and Grocery Stores,$2.59 
1/12/2017,Resturaunts and Bars,$4.24 
1/12/2017,Resturaunts and Bars,$5.21 
1/13/2017,Resturaunts and Bars,$6.17 
1/13/2017,Resturaunts and Bars,$7.20 
1/14/2017,Resturaunts and Bars,$5.03 
1/14/2017,Supermarkets and Grocery Stores,$1.31 
1/14/2017,General Merchandise,$1.05 
1/15/2017,Supermarkets and Grocery Stores,$9.75 
1/16/2017,Resturaunts and Bars,$3.82 
1/17/2017,General Merchandise,$10.49 
1/17/2017,General Merchandise,$35.76 
1/17/2017,Miscellaneous,"$5,784.04 "
1/17/2017,Resturaunts and Bars,$10.42 
1/17/2017,Supermarkets and Grocery Stores,$2.91 
1/18/2017,General Merchandise,$40.16 
1/19/2017,Housing,$5.11 
1/19/2017,Housing,$9.24 
1/19/2017,Housing,$606.64 
1/19/2017,Resturaunts and Bars,$5.54 
1/19/2017,Supermarkets and Grocery Stores,$6.64 
1/19/2017,Supermarkets and Grocery Stores,$20.93 
1/20/2017,Miscellaneous,$8.04 
1/20/2017,Resturaunts and Bars,$4.20 
1/20/2017,Resturaunts and Bars,$9.36 
1/21/2017,Resturaunts and Bars,$8.06 
1/21/2017,Resturaunts and Bars,$18.22 
1/22/2017,General Merchandise,$12.52 
1/22/2017,Resturaunts and Bars,$5.20 
1/22/2017,Resturaunts and Bars,$24.45 
1/23/2017,General Merchandise,$4.56 
1/23/2017,Housing,$26.02 
1/23/2017,Resturaunts and Bars,$2.14 
1/23/2017,Resturaunts and Bars,$12.46 
1/23/2017,Supermarkets and Grocery Stores,$2.55 
1/24/2017,Resturaunts and Bars,$2.07 
1/24/2017,Resturaunts and Bars,$13.54 
1/26/2017,Miscellaneous,$39.22 
1/27/2017,Resturaunts and Bars,$4.72 
1/27/2017,Resturaunts and Bars,$6.04 
1/27/2017,Supermarkets and Grocery Stores,$2.96 
1/28/2017,Housing,$2.39 
1/31/2017,Resturaunts and Bars,$3.99 
1/31/2017,Resturaunts and Bars,$3.31 
2/1/2017,Resturaunts and Bars,$5.64 
2/1/2017,Resturaunts and Bars,$10.90 
2/2/2017,Resturaunts and Bars,$7.09 
2/3/2017,Miscellaneous,$22.46 
2/3/2017,Resturaunts and Bars,$5.48 
2/3/2017,Resturaunts and Bars,$6.59 
2/4/2017,Supermarkets and Grocery Stores,$13.22 
2/5/2017,Supermarkets and Grocery Stores,$2.08 
2/7/2017,Miscellaneous,$2.92 
2/7/2017,General Merchandise,$2.70 
2/7/2017,Supermarkets and Grocery Stores,$2.25 
2/7/2017,Supermarkets and Grocery Stores,$75.18 
2/8/2017,Miscellaneous,$41.23 
2/8/2017,General Merchandise,$16.90 
2/9/2017,Resturaunts and Bars,$8.74 
2/11/2017,Miscellaneous,$6.46 
2/11/2017,Resturaunts and Bars,$7.90 
2/11/2017,Resturaunts and Bars,$7.68 
2/11/2017,Supermarkets and Grocery Stores,$1.24 
2/13/2017,Supermarkets and Grocery Stores,$14.63 
2/15/2017,General Merchandise,$54.34 
2/16/2017,Resturaunts and Bars,$11.66 
2/19/2017,Resturaunts and Bars,$8.57 
2/19/2017,Resturaunts and Bars,$10.42 
2/19/2017,Resturaunts and Bars,$18.18 
2/20/2017,General Merchandise,$4.69 
2/20/2017,Resturaunts and Bars,$15.50 
2/20/2017,Supermarkets and Grocery Stores,$3.57 
2/20/2017,Supermarkets and Grocery Stores,$18.69 
2/21/2017,Resturaunts and Bars,$2.72 
2/21/2017,Resturaunts and Bars,$3.08 
2/21/2017,Resturaunts and Bars,$3.22 
2/23/2017,General Merchandise,$4.74 
2/26/2017,Miscellaneous,$49.06 
3/1/2017,Resturaunts and Bars,$11.56 
3/2/2017,Housing,$145.76 
3/2/2017,Housing,$716.82 
3/2/2017,Resturaunts and Bars,$15.52 
3/3/2017,General Merchandise,$3.57 
3/3/2017,Resturaunts and Bars,$3.68 
3/4/2017,Resturaunts and Bars,$8.78 
3/5/2017,Resturaunts and Bars,$5.86 
3/5/2017,Resturaunts and Bars,$8.11 
3/5/2017,Resturaunts and Bars,$12.33 
3/5/2017,Supermarkets and Grocery Stores,$2.02 
3/6/2017,Resturaunts and Bars,$3.54 
3/6/2017,Resturaunts and Bars,$5.65 
3/6/2017,Supermarkets and Grocery Stores,$33.51 
3/7/2017,General Merchandise,$2.52 
3/7/2017,Supermarkets and Grocery Stores,$1.43 
3/8/2017,Supermarkets and Grocery Stores,$6.69 
3/9/2017,Supermarkets and Grocery Stores,$21.68 
3/10/2017,Resturaunts and Bars,$2.80 
3/10/2017,Resturaunts and Bars,$4.04 
3/11/2017,Housing,$39.24 
3/12/2017,Resturaunts and Bars,$2.39 
3/12/2017,Resturaunts and Bars,$3.10 
3/12/2017,Resturaunts and Bars,$6.52 
3/13/2017,Housing,$74.88 
3/13/2017,Resturaunts and Bars,$6.52 
3/14/2017,Rainy Day Funds:Gifts,$5.82 
3/15/2017,General Merchandise,$8.01 
3/15/2017,Resturaunts and Bars,$4.73 
3/16/2017,Resturaunts and Bars,$3.07 
3/16/2017,Resturaunts and Bars,$32.40 
3/18/2017,Supermarkets and Grocery Stores,$56.18 
3/20/2017,Supermarkets and Grocery Stores,$2.34 
3/22/2017,Supermarkets and Grocery Stores,$10.26 
3/22/2017,Resturaunts and Bars,$5.01 
3/22/2017,Resturaunts and Bars,$12.86 
3/23/2017,General Merchandise,$8.23 
3/23/2017,Supermarkets and Grocery Stores,$8.51 
3/24/2017,Resturaunts and Bars,$6.62 
3/24/2017,Resturaunts and Bars,$8.74 
3/25/2017,Resturaunts and Bars,$4.49 
3/25/2017,Resturaunts and Bars,$8.69 
3/26/2017,Miscellaneous,$35.23 
3/26/2017,Resturaunts and Bars,$3.53 
3/27/2017,Resturaunts and Bars,$16.94 
3/28/2017,General Merchandise,$25.57 
3/28/2017,Miscellaneous,$44.67 
3/29/2017,Rainy Day Funds:Gifts,$33.13 
3/29/2017,Resturaunts and Bars,$8.23 
3/30/2017,Housing,$661.19 
3/30/2017,Resturaunts and Bars,$1.06 
3/30/2017,Resturaunts and Bars,$16.95 
3/31/2017,Resturaunts and Bars,$10.74 
4/3/2017,Resturaunts and Bars,$3.86 
4/8/2017,Resturaunts and Bars,$33.32 
4/18/2017,Miscellaneous,"$2,397.27 "
4/19/2017,Resturaunts and Bars,$2.49 
4/19/2017,Resturaunts and Bars,$3.35 
4/19/2017,Resturaunts and Bars,$4.54 
4/19/2017,Resturaunts and Bars,$5.31 
4/19/2017,Resturaunts and Bars,$7.57 
4/19/2017,Resturaunts and Bars,$8.63 
4/20/2017,Miscellaneous,$127.88 
4/20/2017,Resturaunts and Bars,$1.64 
4/21/2017,Resturaunts and Bars,$6.71 
4/22/2017,Resturaunts and Bars,$7.82 
